bounded_context,entity,logical_name,table_name,module,data_classification,owner_service,retention_policy,api_surface,description
identity,organization,Organization,identity.organization,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para Organization.
identity,tenant,Tenant,identity.tenant,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para Tenant.
identity,tenant_domain,TenantDomain,identity.tenant_domain,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para TenantDomain.
identity,user_account,UserAccount,identity.user_account,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para UserAccount.
identity,user_profile,UserProfile,identity.user_profile,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para UserProfile.
identity,user_preference,UserPreference,identity.user_preference,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para UserPreference.
identity,user_device,UserDevice,identity.user_device,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para UserDevice.
identity,role,Role,identity.role,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para Role.
identity,permission,Permission,identity.permission,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para Permission.
identity,role_permission,RolePermission,identity.role_permission,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para RolePermission.
identity,membership,Membership,identity.membership,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para Membership.
identity,invitation,Invitation,identity.invitation,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para Invitation.
identity,session,Session,identity.session,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para Session.
identity,refresh_token,RefreshToken,identity.refresh_token,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para RefreshToken.
identity,identity_provider,IdentityProvider,identity.identity_provider,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para IdentityProvider.
identity,mfa_factor,MfaFactor,identity.mfa_factor,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para MfaFactor.
identity,consent_record,ConsentRecord,identity.consent_record,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para ConsentRecord.
identity,privacy_preference,PrivacyPreference,identity.privacy_preference,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para PrivacyPreference.
identity,data_subject_request,DataSubjectRequest,identity.data_subject_request,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para DataSubjectRequest.
identity,onboarding_journey,OnboardingJourney,identity.onboarding_journey,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para OnboardingJourney.
